,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
HADS_14,0.58,0.63,0.66,0.63,0.66,0.63,0.6,0.62,0.63,0.58,0.56,0.67,0.63,0.64,0.69,0.59,0.61,0.68,0.62,0.66,0.66,0.61,0.67,0.65,0.62,0.63,0.61,0.63,0.62,0.7,0.63,0.63,0.6,0.61,0.64,0.61,0.69,0.72,0.6,0.59,0.65,0.68,1.0,0.56,0.53,0.44,0.55,0.55,0.52,0.63,0.55,0.36,0.5,0.57,0.54,0.48,0.63,0.69
HAMD_01,0.52,0.6,0.56,0.53,0.6,0.5,0.58,0.63,0.6,0.5,0.53,0.58,0.52,0.62,0.54,0.51,0.55,0.65,0.48,0.71,0.61,0.56,0.53,0.58,0.49,0.59,0.57,0.57,0.58,0.56,0.58,0.61,0.59,0.59,0.66,0.53,0.55,0.58,0.53,0.51,0.56,0.63,0.56,1.0,0.61,0.38,0.59,0.61,0.52,0.69,0.71,0.44,0.62,0.72,0.66,0.39,0.7,0.68
HAMD_02,0.6,0.64,0.57,0.49,0.54,0.58,0.56,0.59,0.58,0.55,0.57,0.57,0.55,0.57,0.49,0.51,0.52,0.55,0.51,0.65,0.59,0.51,0.57,0.59,0.47,0.55,0.53,0.54,0.57,0.49,0.58,0.58,0.54,0.63,0.6,0.53,0.57,0.59,0.59,0.5,0.57,0.64,0.53,0.61,1.0,0.61,0.61,0.64,0.59,0.57,0.57,0.65,0.59,0.68,0.64,0.6,0.64,0.51
HAMD_03,0.56,0.44,0.5,0.39,0.42,0.49,0.46,0.43,0.39,0.46,0.41,0.43,0.46,0.37,0.43,0.42,0.41,0.41,0.45,0.39,0.49,0.38,0.49,0.46,0.48,0.41,0.34,0.44,0.53,0.36,0.42,0.43,0.41,0.51,0.44,0.39,0.45,0.44,0.49,0.41,0.47,0.45,0.44,0.38,0.61,1.0,0.55,0.55,0.54,0.38,0.38,0.72,0.42,0.43,0.46,0.67,0.42,0.31
HAMD_04,0.55,0.58,0.6,0.59,0.61,0.57,0.57,0.6,0.61,0.57,0.58,0.61,0.59,0.61,0.62,0.58,0.59,0.66,0.52,0.65,0.62,0.58,0.62,0.63,0.58,0.68,0.62,0.61,0.59,0.6,0.57,0.59,0.63,0.6,0.62,0.59,0.62,0.63,0.54,0.57,0.57,0.6,0.55,0.59,0.61,0.55,1.0,0.94,0.9,0.61,0.58,0.55,0.65,0.63,0.61,0.53,0.6,0.62
HAMD_05,0.56,0.6,0.61,0.6,0.65,0.55,0.54,0.61,0.62,0.57,0.57,0.6,0.58,0.6,0.62,0.58,0.59,0.66,0.53,0.67,0.59,0.61,0.66,0.65,0.6,0.73,0.63,0.66,0.6,0.61,0.62,0.61,0.65,0.62,0.64,0.62,0.64,0.66,0.55,0.56,0.56,0.62,0.55,0.61,0.64,0.55,0.94,1.0,0.88,0.63,0.58,0.56,0.66,0.66,0.64,0.61,0.62,0.63
HAMD_06,0.49,0.51,0.56,0.5,0.57,0.51,0.52,0.61,0.55,0.49,0.51,0.53,0.52,0.55,0.56,0.5,0.51,0.59,0.52,0.61,0.55,0.59,0.63,0.61,0.54,0.64,0.56,0.57,0.57,0.52,0.56,0.54,0.6,0.6,0.59,0.57,0.54,0.56,0.47,0.5,0.52,0.52,0.52,0.52,0.59,0.54,0.9,0.88,1.0,0.6,0.56,0.54,0.66,0.64,0.65,0.55,0.54,0.58
HAMD_07,0.46,0.55,0.57,0.52,0.52,0.54,0.49,0.65,0.59,0.49,0.53,0.6,0.49,0.58,0.57,0.54,0.54,0.62,0.58,0.8,0.59,0.62,0.66,0.62,0.54,0.6,0.62,0.55,0.59,0.66,0.65,0.59,0.6,0.62,0.65,0.56,0.53,0.58,0.51,0.52,0.6,0.6,0.63,0.69,0.57,0.38,0.61,0.63,0.6,1.0,0.73,0.51,0.65,0.84,0.76,0.54,0.67,0.78
HAMD_08,0.38,0.53,0.57,0.46,0.5,0.46,0.52,0.56,0.54,0.43,0.51,0.53,0.5,0.56,0.55,0.47,0.47,0.58,0.44,0.65,0.53,0.56,0.53,0.53,0.42,0.54,0.5,0.48,0.49,0.53,0.58,0.51,0.48,0.55,0.58,0.48,0.48,0.52,0.39,0.49,0.54,0.61,0.55,0.71,0.57,0.38,0.58,0.58,0.56,0.73,1.0,0.53,0.65,0.73,0.73,0.48,0.62,0.62
HAMD_09,0.47,0.44,0.43,0.34,0.37,0.42,0.4,0.42,0.4,0.41,0.46,0.43,0.4,0.36,0.41,0.41,0.4,0.43,0.41,0.46,0.44,0.38,0.45,0.4,0.41,0.39,0.37,0.37,0.47,0.33,0.43,0.38,0.36,0.47,0.43,0.38,0.39,0.41,0.43,0.4,0.46,0.43,0.36,0.44,0.65,0.72,0.55,0.56,0.54,0.51,0.53,1.0,0.49,0.53,0.55,0.61,0.48,0.37
HAMD_12,0.43,0.52,0.45,0.44,0.48,0.45,0.44,0.51,0.49,0.46,0.49,0.49,0.45,0.51,0.44,0.47,0.44,0.62,0.5,0.71,0.5,0.51,0.5,0.53,0.43,0.55,0.47,0.47,0.49,0.48,0.53,0.53,0.48,0.54,0.53,0.45,0.46,0.49,0.44,0.43,0.51,0.51,0.5,0.62,0.59,0.42,0.65,0.66,0.66,0.65,0.65,0.49,1.0,0.73,0.76,0.56,0.56,0.55
HAMD_13,0.49,0.59,0.61,0.55,0.57,0.58,0.52,0.68,0.61,0.53,0.57,0.59,0.52,0.6,0.51,0.53,0.55,0.65,0.59,0.8,0.6,0.57,0.65,0.62,0.52,0.64,0.61,0.57,0.61,0.55,0.64,0.62,0.62,0.66,0.65,0.58,0.56,0.62,0.55,0.53,0.6,0.61,0.57,0.72,0.68,0.43,0.63,0.66,0.64,0.84,0.73,0.53,0.73,1.0,0.81,0.56,0.68,0.67
HAMD_14,0.41,0.5,0.53,0.45,0.48,0.49,0.48,0.62,0.59,0.44,0.48,0.54,0.47,0.52,0.5,0.49,0.45,0.6,0.53,0.76,0.56,0.52,0.59,0.54,0.47,0.57,0.53,0.5,0.52,0.52,0.58,0.56,0.52,0.56,0.56,0.52,0.49,0.54,0.42,0.47,0.53,0.55,0.54,0.66,0.64,0.46,0.61,0.64,0.65,0.76,0.73,0.55,0.76,0.81,1.0,0.55,0.58,0.62
HAMD_16,0.51,0.47,0.51,0.38,0.47,0.46,0.38,0.43,0.37,0.48,0.44,0.43,0.44,0.41,0.46,0.43,0.44,0.47,0.61,0.49,0.49,0.43,0.52,0.51,0.46,0.46,0.36,0.48,0.51,0.41,0.49,0.47,0.44,0.59,0.48,0.42,0.45,0.43,0.46,0.45,0.52,0.44,0.48,0.39,0.6,0.67,0.53,0.61,0.55,0.54,0.48,0.61,0.56,0.56,0.55,1.0,0.46,0.38
NPI_D_screen,0.63,0.71,0.69,0.67,0.68,0.64,0.62,0.66,0.7,0.67,0.67,0.71,0.69,0.68,0.68,0.67,0.67,0.73,0.58,0.72,0.7,0.59,0.66,0.71,0.63,0.68,0.71,0.7,0.71,0.68,0.73,0.73,0.69,0.7,0.75,0.71,0.68,0.69,0.63,0.65,0.62,0.69,0.63,0.7,0.64,0.42,0.6,0.62,0.54,0.67,0.62,0.48,0.56,0.68,0.58,0.46,1.0,0.74
MDS-UPDRS_1.3,0.58,0.69,0.7,0.73,0.7,0.64,0.61,0.69,0.76,0.64,0.66,0.77,0.68,0.68,0.72,0.68,0.74,0.76,0.66,0.78,0.71,0.77,0.8,0.8,0.77,0.77,0.84,0.77,0.76,0.86,0.82,0.79,0.81,0.74,0.81,0.79,0.74,0.74,0.63,0.66,0.67,0.74,0.69,0.68,0.51,0.31,0.62,0.63,0.58,0.78,0.62,0.37,0.55,0.67,0.62,0.38,0.74,1.0
